Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;INPUT;OUTPUT;INTERRUPT
0x000;PRO_BOOT_REMAP_CTRL_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;pro_boot_remap;[0];1'b0;R/W;;;;;;;
0x004;APP_BOOT_REMAP_CTRL_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;app_boot_remap;[0];1'b0;R/W;;;;;;;
0x008;DPORT_ACCESS_CHECK;CLK;nReset;;;;[31:9];23'b0;RO;;;;;;;
;;;;;;dport_access_check_app;[8];1'b0;RO;;;;;;;
;;;;;;;[7:1];7'b0;RO;;;;;;;
;;;;;;dport_access_check_pro;[0];1'b0;RO;;;;;;;
0x00C;PRO_DPORT_APB_MASK0;CLK;nReset;;;reg_prodport_apb_mask0;[31:0];32'h0;R/W;;;;;;;
0x010;PRO_DPORT_APB_MASK1;CLK;nReset;;;reg_prodport_apb_mask1;[31:0];32'h0;R/W;;;;;;;
0x014;APP_DPORT_APB_MASK0;CLK;nReset;;;reg_appdport_apb_mask0;[31:0];32'h0;R/W;;;;;;;
0x018;APP_DPORT_APB_MASK1;CLK;nReset;;;reg_appdport_apb_mask1;[31:0];32'h0;R/W;;;;;;;
0x01C;PERI_CLK_EN;CLK;nReset;;;peri_clk_en;[31:0];32'h0;R/W;;;;;;;
0x020;PERI_RST_EN;CLK;nReset;;;peri_rst_en;[31:0];32'h0;R/W;;;;;;;
0x024;WIFI_BB_CFG;CLK;nReset;;;reg_wifi_bb_cfg;[31:0];32'h0;R/W;;;;;;;
0x028;WIFI_BB_CFG_2;CLK;nReset;;;reg_wifi_bb_cfg_2;[31:0];32'h0;R/W;;;;;;;
0x02C;APPCPU_CTRL_REG_A;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;reg_appcpu_resetting;[0];1'b1;R/W;;;;;;;
0x030;APPCPU_CTRL_REG_B;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;reg_appcpu_clkgate_en;[0];1'b0;R/W;;;;;;;
0x034;APPCPU_CTRL_REG_C;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;reg_appcpu_runstall;[0];1'b0;R/W;;;;;;;
0x038;APPCPU_CTRL_REG_D;CLK;nReset;;;reg_appcpu_boot_addr;[31:0];32'h0;R/W;;;;;;;
0x03C;CPU_PER_CONF_REG;CLK;nReset;;;;[31:4];28'h0;RO;;;;;;;
;;;;;;reg_fast_clk_rtc_sel;[3];1'b0;R/W;;;;;;;
;;;;;;reg_lowspeed_clk_sel;[2];1'b0;R/W;;;;;;;
;;;;;;reg_cpuperiod_sel;[1:0];2'b0;R/W;;;;;;;
0x040;PRO_CACHE_CTRL_REG;CLK;nReset;;;;[31:17];15'h0;RO;;;;;;;
;;;;;;pro_dram_hl;[16];1'b0;R/W;;;;;;;
;;;;;;slave_req;[15];1'b0;RO;;;;;;;
;;;;;;ahb_spi_req;[14];1'b0;RO;;;;;;;
;;;;;;pro_slave_req;[13];1'b0;RO;;;;;;;
;;;;;;pro_ahb_spi_req;[12];1'b0;RO;;;;;;;
;;;;;;pro_dram_split;[11];1'b0;R/W;;;;;;;
;;;;;;pro_single_iram_ena;[10];1'b0;R/W;;;;;;;
;;;;;;pro_cache_lock_3_en;[9];1'b0;R/W;;;;;;;
;;;;;;pro_cache_lock_2_en;[8];1'b0;R/W;;;;;;;
;;;;;;pro_cache_lock_1_en;[7];1'b0;R/W;;;;;;;
;;;;;;pro_cache_lock_0_en;[6];1'b0;R/W;;;;;;;
;;;;;;pro_cache_flush_done;[5];1'b0;RO;;;;;;;
;;;;;;pro_cache_flush_ena;[4];1'b1;R/W;;;;;;;
;;;;;;pro_cache_enable;[3];1'b0;R/W;;;;;;;
;;;;;;pro_cache_mode;[2];1'b0;R/W;;;;;;;
;;;;;;;[1:0];2'b0;RO;;;;;;;
0x044;PRO_CACHE_CTRL1_REG;CLK;nReset;;;;[31:14];18'h0;RO;;;;;;;
;;;;;;pro_cache_mmu_ia_clr;[13];1'b0;R/W;;;;;;;
;;;;;;pro_cmmu_pd;[12];1'b0;R/W;;;;;;;
;;;;;;pro_cmmu_force_on;[11];1'b1;R/W;;;;;;;
;;;;;;pro_cmmu_flash_page_mode;[10:9];2'b0;R/W;;;;;;;
;;;;;;pro_cmmu_sram_page_mode;[8:6];3'd3;R/W;;;;;;;
;;;;;;pro_cache_mask_opsdram;[5];1'b1;R/W;;;;;;;
;;;;;;pro_cache_mask_drom0;[4];1'b1;R/W;;;;;;;
;;;;;;pro_cache_mask_dram1;[3];1'b1;R/W;;;;;;;
;;;;;;pro_cache_mask_irom0;[2];1'b1;R/W;;;;;;;
;;;;;;pro_cache_mask_iram1;[1];1'b1;R/W;;;;;;;
;;;;;;pro_cache_mask_iram0;[0];1'b1;R/W;;;;;;;
0x048;PRO_CACHE_LOCK_0_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;pro_cache_lock_0_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_0_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_0_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x04C;PRO_CACHE_LOCK_1_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;pro_cache_lock_1_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_1_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_1_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x050;PRO_CACHE_LOCK_2_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;pro_cache_lock_2_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_2_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_2_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x054;PRO_CACHE_LOCK_3_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;pro_cache_lock_3_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_3_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;pro_cache_lock_3_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x058;APP_CACHE_CTRL_REG;CLK;nReset;;;;[31:15];18'h0;RO;;;;;;;
;;;;;;app_dram_hl;[14];1'b0;R/W;;;;;;;
;;;;;;app_slave_req;[13];1'b0;RO;;;;;;;
;;;;;;app_ahb_spi_req;[12];1'b0;RO;;;;;;;
;;;;;;app_dram_split;[11];1'b0;R/W;;;;;;;
;;;;;;app_single_iram_ena;[10];1'b0;R/W;;;;;;;
;;;;;;app_cache_lock_3_en;[9];1'b0;R/W;;;;;;;
;;;;;;app_cache_lock_2_en;[8];1'b0;R/W;;;;;;;
;;;;;;app_cache_lock_1_en;[7];1'b0;R/W;;;;;;;
;;;;;;app_cache_lock_0_en;[6];1'b0;R/W;;;;;;;
;;;;;;app_cache_flush_done;[5];1'b0;RO;;;;;;;
;;;;;;app_cache_flush_ena;[4];1'b1;R/W;;;;;;;
;;;;;;app_cache_enable;[3];1'b0;R/W;;;;;;;
;;;;;;app_cache_mode;[2];1'b0;R/W;;;;;;;
;;;;;;;[1:0];2'b0;RO;;;;;;;
0x05C;APP_CACHE_CTRL1_REG;CLK;nReset;;;;[31:14];18'h0;RO;;;;;;;
;;;;;;app_cache_mmu_ia_clr;[13];1'b0;R/W;;;;;;;
;;;;;;app_cmmu_pd;[12];1'b0;R/W;;;;;;;
;;;;;;app_cmmu_force_on;[11];1'b1;R/W;;;;;;;
;;;;;;app_cmmu_flash_page_mode;[10:9];2'b0;R/W;;;;;;;
;;;;;;app_cmmu_sram_page_mode;[8:6];3'd3;R/W;;;;;;;
;;;;;;app_cache_mask_opsdram;[5];1'b1;R/W;;;;;;;
;;;;;;app_cache_mask_drom0;[4];1'b1;R/W;;;;;;;
;;;;;;app_cache_mask_dram1;[3];1'b1;R/W;;;;;;;
;;;;;;app_cache_mask_irom0;[2];1'b1;R/W;;;;;;;
;;;;;;app_cache_mask_iram1;[1];1'b1;R/W;;;;;;;
;;;;;;app_cache_mask_iram0;[0];1'b1;R/W;;;;;;;
0x060;APP_CACHE_LOCK_0_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;app_cache_lock_0_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_0_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_0_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x064;APP_CACHE_LOCK_1_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;app_cache_lock_1_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_1_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_1_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x068;APP_CACHE_LOCK_2_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;app_cache_lock_2_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_2_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_2_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x06C;APP_CACHE_LOCK_3_ADDR_REG;CLK;nReset;;;;[31:22];10'h0;RO;;;;;;;
;;;;;;app_cache_lock_3_addr_max;[21:18];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_3_addr_min;[17:14];4'h0;R/W;;;;;;;
;;;;;;app_cache_lock_3_addr_pre;[13:0];14'h0;R/W;;;;;;;
0x070;TRACEMEM_MUX_MODE;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;tracemem_mux_mode;[1:0];2'b0;R/W;;;;;;;
0x074;PRO_TRACEMEM_ENA;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;pro_tracemem_ena;[0];1'b0;R/W;;;;;;;
0x078;APP_TRACEMEM_ENA;CLK;nReset;;;;[31:1];31'h0;RO;;;;;;;
;;;;;;app_tracemem_ena;[0];1'b0;R/W;;;;;;;
0x07C;CACHE_MUX_MODE;CLK;nReset;;;;[31:2];30'h0;RO;;;;;;;
;;;;;;cache_mux_mode;[1:0];2'b0;R/W;;;;;;;
0x080;IMMU_PAGE_MODE;CLK;nReset;;;;[31:3];29'b0;RO;;;;;;;
;;;;;;immu_page_mode;[2:1];2'b0;R/W;;;;;;;
;;;;;;internal_sram_immu_ena;[0];1'b0;R/W;;;;;;;
0x084;DMMU_PAGE_MODE;CLK;nReset;;;;[31:3];29'b0;RO;;;;;;;
;;;;;;dmmu_page_mode;[2:1];2'b0;R/W;;;;;;;
;;;;;;internal_sram_dmmu_ena;[0];1'b0;R/W;;;;;;;
0x088;ROM_MPU_ENA;CLK;nReset;;;;[31:3];29'b0;RO;;;;;;;
;;;;;;app_rom_mpu_ena;[2];1'b0;R/W;;;;;;;
;;;;;;pro_rom_mpu_ena;[1];1'b0;R/W;;;;;;;
;;;;;;share_rom_mpu_ena;[0];1'b0;R/W;;;;;;;
0x08C;MEM_PD_MASK_REG;CLK;nReset;;;;[31:1];31'h0;RO;;;;;;;
;;;;;;lslp_mem_pd_mask;[0];1'b1;R/W;;;;;;;
0x090;ROM_PD_CTRL_REG;CLK;nReset;;;;[31:8];24'h0;RO;;;;;;;
;;;;;;share_rom_pd;[7:2];6'h0;R/W;;;;;;;
;;;;;;app_rom_pd;[1];1'h0;R/W;;;;;;;
;;;;;;pro_rom_pd;[0];1'h0;R/W;;;;;;;
0x094;ROM_FO_CTRL_REG;CLK;nReset;;;;[31:8];24'h0;RO;;;;;;;
;;;;;;share_rom_fo;[7:2];6'h0;R/W;;;;;;;
;;;;;;app_rom_fo;[1];1'h1;R/W;;;;;;;
;;;;;;pro_rom_fo;[0];1'h1;R/W;;;;;;;
0x098;SRAM_PD_CTRL_REG_0;CLK;nReset;;;sram_pd_0;[31:0];32'h0;R/W;;;;;;;
0x09C;SRAM_PD_CTRL_REG_1;CLK;nReset;;;;[31:1];31'h0;RO;;;;;;;
;;;;;;sram_pd_1;[0];1'h0;R/W;;;;;;;
0x0A0;SRAM_FO_CTRL_REG_0;CLK;nReset;;;sram_fo_0;[31:0];32'hffffffff;R/W;;;;;;;
0x0A4;SRAM_FO_CTRL_REG_1;CLK;nReset;;;;[31:1];31'h0;RO;;;;;;;
;;;;;;sram_fo_1;[0];1'h1;R/W;;;;;;;
0x0A8;IRAM_DRAM_AHB_SEL;CLK;nReset;;;;[31:7];25'h0;RO;;;;;;;
;;;;;;mac_dump_mode;[6:5];2'h0;R/W;;;;;;;
;;;;;;mask_ahb;[4];1'b0;R/W;;;;;;;
;;;;;;mask_app_dram;[3];1'b0;R/W;;;;;;;
;;;;;;mask_pro_dram;[2];1'b0;R/W;;;;;;;
;;;;;;mask_app_iram;[1];1'b0;R/W;;;;;;;
;;;;;;mask_pro_iram;[0];1'b0;R/W;;;;;;;
0x0AC;TAG_FO_CTRL_REG;CLK;nReset;;;;[31:10];22'h0;RO;;;;;;;
;;;;;;app_cache_tag_pd;[9];1'b0;R/W;;;;;;;
;;;;;;app_cache_tag_force_on;[8];1'b1;R/W;;;;;;;
;;;;;;;[7:2];6'h0;RO;;;;;;;
;;;;;;pro_cache_tag_pd;[1];1'b0;R/W;;;;;;;
;;;;;;pro_cache_tag_force_on;[0];1'b1;R/W;;;;;;;
0x0B0;AHB_LITE_MASK_REG;CLK;nReset;;;;[31:14];18'h0;RO;;;;;;;
;;;;;;ahb_lite_sdhost_pid_reg;[13:11];3'b0;R/W;;;;;;;
;;;;;;ahb_lite_mask_appdport;[10];1'b0;R/W;;;;;;;
;;;;;;ahb_lite_mask_prodport;[9];1'b0;R/W;;;;;;;
;;;;;;ahb_lite_mask_sdio;[8];1'b0;R/W;;;;;;;
;;;;;;;[7:5];3'h0;RO;;;;;;;
;;;;;;ahb_lite_mask_app;[4];1'b0;R/W;;;;;;;
;;;;;;;[3:1];3'h0;RO;;;;;;;
;;;;;;ahb_lite_mask_pro;[0];1'b0;R/W;;;;;;;
0x0B4;AHB_MPU_TABLE_0;CLK;nReset;;;ahb_access_grant_0;[31:0];32'hffffffff;R/W;;;;;;;
0x0B8;AHB_MPU_TABLE_1;CLK;nReset;;;;[31:9];23'h0;RO;;;;;;;
;;;;;;ahb_access_grant_1;[8:0];9'h1ff;R/W;;;;;;;
0x0BC;HOST_INF_SEL;CLK;nReset;;;;[31:16];16'h0;RO;;;;;;;
;;;;;;link_device_sel;[15:8];8'h0;R/W;;;;;;;
;;;;;;peri_io_swap;[7:0];8'h0;R/W;;;;;;;
0x0C0;PERIP_CLK_EN;CLK;nReset;;;reg_perip_clk_en;[31:0];32'hf9c1e06f;R/W;;;;;;;
0x0C4;PERIP_RST_EN;CLK;nReset;;;reg_perip_rst;[31:0];32'h0;R/W;;;;;;;
0x0C8;SLAVE_SPI_CONFIG_REG;CLK;nReset;;;;[31:13];19'h0;RO;;;;;;;
;;;;;;reg_spi_decrypt_enable;[12];1'b0;R/W;;;;;;;
;;;;;;;[11:9];3'h0;RO;;;;;;;
;;;;;;reg_spi_encrypt_enable;[8];1'b0;R/W;;;;;;;
;;;;;;;[7:5];3'h0;RO;;;;;;;
;;;;;;slave_spi_mask_app;[4];1'b0;R/W;;;;;;;
;;;;;;;[3:1];3'h0;RO;;;;;;;
;;;;;;slave_spi_mask_pro;[0];1'b0;R/W;;;;;;;
0x0CC;WIFI_CLK_EN;CLK;nReset;;;reg_wifi_clk_en;[31:0];32'hfffce030;R/W;;;;;;;
0x0D0;WIFI_RST_EN;CLK;nReset;;;reg_wifi_rst;[31:0];32'h0;R/W;;;;;;;
0x0D4;BT_LPCK_DIV_INT;CLK;nReset;;;;[31:14];19'h0;RO;;;;;;;
;;;;;;;[13];;;;;;;;;
;;;;;;reg_btextwakeup_req;[12];1'b0;R/W;;;;;;;
;;;;;;reg_bt_lpck_div_num;[11:0];12'd255;R/W;;;;;;;
0x0D8;BT_LPCK_DIV_FRAC;CLK;nReset;;;;[31:28];4'h0;RO;;;;;;;
;;;;;;reg_lpclk_sel_xtal32k;[27];1'b0;R/W;;;;;;;
;;;;;;reg_lpclk_sel_xtal;[26];1'b0;R/W;;;;;;;
;;;;;;reg_lpclk_sel_8m;[25];1'b1;R/W;;;;;;;
;;;;;;reg_lpclk_sel_rtc_slow;[24];1'b0;R/W;;;;;;;
;;;;;;reg_bt_lpck_div_a;[23:12];12'd1;R/W;;;;;;;
;;;;;;reg_bt_lpck_div_b;[11:0];12'd1;R/W;;;;;;;
0x0DC;CPU_INTR_FROM_CPU_0_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;cpu_intr_from_cpu_0;[0];1'b0;R/W;;;;;;;
0x0E0;CPU_INTR_FROM_CPU_1_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;cpu_intr_from_cpu_1;[0];1'b0;R/W;;;;;;;
0x0E4;CPU_INTR_FROM_CPU_2_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;cpu_intr_from_cpu_2;[0];1'b0;R/W;;;;;;;
0x0E8;CPU_INTR_FROM_CPU_3_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;cpu_intr_from_cpu_3;[0];1'b0;R/W;;;;;;;
0x0EC;PRO_INTR_STATUS_REG_0;CLK;nReset;;;pro_intr_status_0;[31:0];32'h0;RO;;;;;;;
0x0F0;PRO_INTR_STATUS_REG_1;CLK;nReset;;;pro_intr_status_1;[31:0];32'h0;RO;;;;;;;
0x0F4;PRO_INTR_STATUS_REG_2;CLK;nReset;;;pro_intr_status_2;[31:0];32'h0;RO;;;;;;;
0x0F8;APP_INTR_STATUS_REG_0;CLK;nReset;;;app_intr_status_0;[31:0];32'h0;RO;;;;;;;
0x0FC;APP_INTR_STATUS_REG_1;CLK;nReset;;;app_intr_status_1;[31:0];32'h0;RO;;;;;;;
0x100;APP_INTR_STATUS_REG_2;CLK;nReset;;;app_intr_status_2;[31:0];32'h0;RO;;;;;;;
0x104;PRO_MAC_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_mac_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x108;PRO_MAC_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_mac_nmi_map;[4:0];5'd16;R/W;;;;;;;PRO
0x10C;PRO_BB_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_bb_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x110;PRO_BT_MAC_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_bt_mac_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x114;PRO_BT_BB_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_bt_bb_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x118;PRO_BT_BB_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_bt_bb_nmi_map;[4:0];5'd16;R/W;;;;;;;PRO
0x11C;PRO_RWBT_IRQ_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_rwbt_irq_map;[4:0];5'd16;R/W;;;;;;;PRO
0x120;PRO_RWBLE_IRQ_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_rwble_irq_map;[4:0];5'd16;R/W;;;;;;;PRO
0x124;PRO_RWBT_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_rwbt_nmi_map;[4:0];5'd16;R/W;;;;;;;PRO
0x128;PRO_RWBLE_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_rwble_nmi_map;[4:0];5'd16;R/W;;;;;;;PRO
0x12C;PRO_SLC0_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_slc0_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x130;PRO_SLC1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_slc1_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x134;PRO_UHCI0_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_uhci0_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x138;PRO_UHCI1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_uhci1_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x13C;PRO_TG_T0_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_t0_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x140;PRO_TG_T1_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_t1_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x144;PRO_TG_WDT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_wdt_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x148;PRO_TG_LACT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg_lact_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x14C;PRO_TG1_T0_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_t0_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x150;PRO_TG1_T1_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_t1_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x154;PRO_TG1_WDT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_wdt_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x158;PRO_TG1_LACT_LEVEL_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_tg1_lact_level_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x15C;PRO_GPIO_INTERRUPT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_gpio_interrupt_pro_map;[4:0];5'd16;R/W;;;;;;;PRO
0x160;PRO_GPIO_INTERRUPT_NMI_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_gpio_interrupt_pro_nmi_map;[4:0];5'd16;R/W;;;;;;;PRO
0x164;PRO_CPU_INTR_FROM_CPU_0_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_cpu_intr_from_cpu_0_map;[4:0];5'd16;R/W;;;;;;;PRO
0x168;PRO_CPU_INTR_FROM_CPU_1_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_cpu_intr_from_cpu_1_map;[4:0];5'd16;R/W;;;;;;;PRO
0x16C;PRO_CPU_INTR_FROM_CPU_2_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_cpu_intr_from_cpu_2_map;[4:0];5'd16;R/W;;;;;;;PRO
0x170;PRO_CPU_INTR_FROM_CPU_3_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_cpu_intr_from_cpu_3_map;[4:0];5'd16;R/W;;;;;;;PRO
0x174;PRO_SPI_INTR_0_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_spi_intr_0_map;[4:0];5'd16;R/W;;;;;;;PRO
0x178;PRO_SPI_INTR_1_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_spi_intr_1_map;[4:0];5'd16;R/W;;;;;;;PRO
0x17C;PRO_SPI_INTR_2_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_spi_intr_2_map;[4:0];5'd16;R/W;;;;;;;PRO
0x180;PRO_SPI_INTR_3_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_spi_intr_3_map;[4:0];5'd16;R/W;;;;;;;PRO
0x184;PRO_I2S0_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_i2s0_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x188;PRO_I2S1_INT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_i2s1_int_map;[4:0];5'd16;R/W;;;;;;;PRO
0x18C;PRO_UART_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_uart_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x190;PRO_UART1_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_uart1_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x194;PRO_UART2_INTR_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
;;;;;;pro_uart2_intr_map;[4:0];5'd16;R/W;;;;;;;PRO
0x198;PRO_SDIO_HOST_INTERRUPT_MAP_REG;CLK;nReset;;;;[31:5];27'b0;RO;;;;;;;
