Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;INPUT;OUTPUT;INTERRUPT
;;;;;;spi2_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3AC;AHBLITE_MPU_TABLE_SPI3;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;spi3_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3B0;AHBLITE_MPU_TABLE_APB_CTRL;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;apbctrl_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3B4;AHBLITE_MPU_TABLE_I2C_EXT1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;i2cext1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3B8;AHBLITE_MPU_TABLE_SDIO_HOST;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;sdiohost_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3BC;AHBLITE_MPU_TABLE_EMAC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;emac_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3C0;AHBLITE_MPU_TABLE_CAN;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;can_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3C4;AHBLITE_MPU_TABLE_PWM1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwm1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3C8;AHBLITE_MPU_TABLE_I2S1;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;i2s1_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3CC;AHBLITE_MPU_TABLE_UART2;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;uart2_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3D0;AHBLITE_MPU_TABLE_PWM2;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwm2_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3D4;AHBLITE_MPU_TABLE_PWM3;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwm3_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3D8;AHBLITE_MPU_TABLE_RWBT;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;rwbt_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3DC;AHBLITE_MPU_TABLE_BTMAC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;btmac_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3E0;AHBLITE_MPU_TABLE_WIFIMAC;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;wifimac_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3E4;AHBLITE_MPU_TABLE_PWR;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;pwr_access_grant_config;[5:0];6'b0;R/W;;;;;;;
0x3E8;MEM_ACCESS_DBUG0;CLK;nReset;;;;[31:30];2'b0;RO;;;;;;;
;;;;;;internal_sram_mmu_multi_hit;[29:26];4'b0;RO;;;;;;;
;;;;;;internal_sram_ia;[25:14];12'b0;RO;;;;;;;
;;;;;;internal_sram_mmu_ad;[13:10];4'b0;RO;;;;;;;
;;;;;;share_rom_ia;[9:6];4'b0;RO;;;;;;;
;;;;;;share_rom_mpu_ad;[5:4];2'b0;RO;;;;;;;
;;;;;;app_rom_ia;[3];1'b0;RO;;;;;;;
;;;;;;app_rom_mpu_ad;[2];1'b0;RO;;;;;;;
;;;;;;pro_rom_ia;[1];1'b0;RO;;;;;;;
;;;;;;pro_rom_mpu_ad;[0];1'b0;RO;;;;;;;
0x3EC;MEM_ACCESS_DBUG1;CLK;nReset;;;;[31:11];21'b0;RO;;;;;;;
;;;;;;ahblite_ia;[10];1'b0;RO;;;;;;;
;;;;;;ahblite_access_deny;[9];1'b0;RO;;;;;;;
;;;;;;ahb_access_deny;[8];1'b0;RO;;;;;;;
;;;;;;dport_pidgen_ia;[7:6];2'b0;RO;;;;;;;
;;;;;;dport_arb_ia;[5:4];2'b0;RO;;;;;;;
;;;;;;internal_sram_mmu_miss;[3:0];4'b0;RO;;;;;;;
0x3F0;PRO_DCACHE_DBUG_REG0;CLK;nReset;;;;[31:24];8'b0;RO;;;;;;;
;;;;;;pro_rx_end;[23];1'b0;RO;;;;;;;
;;;;;;pro_slave_wdata_v;[22];1'b0;RO;;;;;;;
;;;;;;pro_slave_wr;[21];1'b0;RO;;;;;;;
;;;;;;pro_tx_end;[20];1'b0;RO;;;;;;;
;;;;;;pro_wr_bak_to_read;[19];1'b0;RO;;;;;;;
;;;;;;pro_cache_state;[18:7];12'b0;RO;;;;;;;
;;;;;;pro_cache_ia;[6:1];6'b0;RO;;;;;;;
;;;;;;pro_cache_mmu_ia;[0];1'b0;RO;;;;;;;
0x3F4;PRO_DCACHE_DBUG_REG1;CLK;nReset;;;pro_ctag_ram_rdata;[31:0];32'b0;RO;;;;;;;
0x3F8;PRO_DCACHE_DBUG_REG2;CLK;nReset;;;;[31:27];5'b0;RO;;;;;;;
;;;;;;pro_cache_vaddr;[26:0];27'b0;RO;;;;;;;
0x3FC;PRO_DCACHE_DBUG_REG3;CLK;nReset;;;;[31:16];16'b0;RO;;;;;;;
;;;;;;pro_cache_iram0_pid_error;[15];1'b0;RO;;;;;;;
;;;;;;pro_cpu_disabled_cache_ia;[14:9];6'b0;RO;;;;;;;
;;;;;;pro_mmu_rdata;[8:0];9'h0;RO;;;;;;;
0x400;PRO_DCACHE_DBUG_REG4;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;pro_reg_DRam1Addr0_ia;[19:0];20'b0;RO;;;;;;;
0x404;PRO_DCACHE_DBUG_REG5;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;pro_reg_DRom0Addr0_ia;[19:0];20'b0;RO;;;;;;;
0x408;PRO_DCACHE_DBUG_REG6;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;pro_reg_IRam0Addr_ia;[19:0];20'b0;RO;;;;;;;
0x40C;PRO_DCACHE_DBUG_REG7;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;pro_reg_IRam1Addr_ia;[19:0];20'b0;RO;;;;;;;
0x410;PRO_DCACHE_DBUG_REG8;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;pro_reg_IRom0Addr_ia;[19:0];20'b0;RO;;;;;;;
0x414;PRO_DCACHE_DBUG_REG9;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;pro_reg_opsDRamAddr_ia;[19:0];20'b0;RO;;;;;;;
0x418;APP_DCACHE_DBUG_REG0;CLK;nReset;;;;[31:24];8'b0;RO;;;;;;;
;;;;;;app_rx_end;[23];1'b0;RO;;;;;;;
;;;;;;app_slave_wdata_v;[22];1'b0;RO;;;;;;;
;;;;;;app_slave_wr;[21];1'b0;RO;;;;;;;
;;;;;;app_tx_end;[20];1'b0;RO;;;;;;;
;;;;;;app_wr_bak_to_read;[19];1'b0;RO;;;;;;;
;;;;;;app_cache_state;[18:7];12'b0;RO;;;;;;;
;;;;;;app_cache_ia;[6:1];6'b0;RO;;;;;;;
;;;;;;app_cache_mmu_ia;[0];1'b0;RO;;;;;;;
0x41C;APP_DCACHE_DBUG_REG1;CLK;nReset;;;app_ctag_ram_rdata;[31:0];32'b0;RO;;;;;;;
0x420;APP_DCACHE_DBUG_REG2;CLK;nReset;;;;[31:27];5'b0;RO;;;;;;;
;;;;;;app_cache_vaddr;[26:0];27'b0;RO;;;;;;;
0x424;APP_DCACHE_DBUG_REG3;CLK;nReset;;;;[31:16];16'b0;RO;;;;;;;
;;;;;;app_cache_iram0_pid_error;[15];1'b0;RO;;;;;;;
;;;;;;app_cpu_disabled_cache_ia;[14:9];6'b0;RO;;;;;;;
;;;;;;app_mmu_rdata;[8:0];9'h0;RO;;;;;;;
0x428;APP_DCACHE_DBUG_REG4;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;app_reg_DRam1Addr0_ia;[19:0];20'b0;RO;;;;;;;
0x42C;APP_DCACHE_DBUG_REG5;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;app_reg_DRom0Addr0_ia;[19:0];20'b0;RO;;;;;;;
0x430;APP_DCACHE_DBUG_REG6;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;app_reg_IRam0Addr_ia;[19:0];20'b0;RO;;;;;;;
0x434;APP_DCACHE_DBUG_REG7;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;app_reg_IRam1Addr_ia;[19:0];20'b0;RO;;;;;;;
0x438;APP_DCACHE_DBUG_REG8;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;app_reg_IRom0Addr_ia;[19:0];20'b0;RO;;;;;;;
0x43C;APP_DCACHE_DBUG_REG9;CLK;nReset;;;;[31:20];12'b0;RO;;;;;;;
;;;;;;app_reg_opsDRamAddr_ia;[19:0];20'b0;RO;;;;;;;
0x440;PRO_CPU_RECORD_CTRL;CLK;nReset;;;;[31:9];23'b0;RO;;;;;;;
;;;;;;reg_pro_cpu_pdebug_enable;[8];1'b1;R/W;;;;;;;
;;;;;;;[7:5];3'b0;RO;;;;;;;
;;;;;;reg_pro_cpu_record_disable;[4];1'b0;R/W;;;;;;;
;;;;;;;[3:1];3'b0;RO;;;;;;;
;;;;;;reg_pro_cpu_record_enable;[0];1'b0;R/W;;;;;;;
0x444;PRO_CPU_RECORD_STATUS;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;pro_cpu_recording;[0];1'b0;RO;;;;;;;
0x448;PRO_CPU_RECORD_PID;CLK;nReset;;;;[31:3];29'b0;RO;;;;;;;
;;;;;;record_pro_pid;[2:0];3'd0;RO;;;;;;;
0x44C;PRO_CPU_RECORD_PDEBUGINST;CLK;nReset;;;record_pro_pdebuginst;[31:0];32'b0;RO;;;;;;;
0x450;PRO_CPU_RECORD_PDEBUGSTATUS;CLK;nReset;;;;[31:8];24'b0;RO;;;;;;;
;;;;;;record_pro_pdebugstatus;[7:0];8'b0;RO;;;;;;;
0x454;PRO_CPU_RECORD_PDEBUGDATA;CLK;nReset;;;record_pro_pdebugdata;[31:0];32'b0;RO;;;;;;;
0x458;PRO_CPU_RECORD_PDEBUGPC;CLK;nReset;;;record_pro_pdebugpc;[31:0];32'b0;RO;;;;;;;
0x45C;PRO_CPU_RECORD_PDEBUGLS0STAT;CLK;nReset;;;record_pro_pdebugls0stat;[31:0];32'b0;RO;;;;;;;
0x460;PRO_CPU_RECORD_PDEBUGLS0ADDR;CLK;nReset;;;record_pro_pdebugls0addr;[31:0];32'b0;RO;;;;;;;
0x464;PRO_CPU_RECORD_PDEBUGLS0DATA;CLK;nReset;;;record_pro_pdebugls0data;[31:0];32'b0;RO;;;;;;;
0x468;APP_CPU_RECORD_CTRL;CLK;nReset;;;;[31:9];23'b0;RO;;;;;;;
;;;;;;reg_app_cpu_pdebug_enable;[8];1'b1;R/W;;;;;;;
;;;;;;;[7:5];3'b0;RO;;;;;;;
;;;;;;reg_app_cpu_record_disable;[4];1'b0;R/W;;;;;;;
;;;;;;;[3:1];3'b0;RO;;;;;;;
;;;;;;reg_app_cpu_record_enable;[0];1'b0;R/W;;;;;;;
0x46C;APP_CPU_RECORD_STATUS;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;app_cpu_recording;[0];1'b0;RO;;;;;;;
0x470;APP_CPU_RECORD_PID;CLK;nReset;;;;[31:3];29'b0;RO;;;;;;;
;;;;;;record_app_pid;[2:0];3'd0;RO;;;;;;;
0x474;APP_CPU_RECORD_PDEBUGINST;CLK;nReset;;;record_app_pdebuginst;[31:0];32'b0;RO;;;;;;;
0x478;APP_CPU_RECORD_PDEBUGSTATUS;CLK;nReset;;;;[31:8];24'b0;RO;;;;;;;
;;;;;;record_app_pdebugstatus;[7:0];8'b0;RO;;;;;;;
0x47C;APP_CPU_RECORD_PDEBUGDATA;CLK;nReset;;;record_app_pdebugdata;[31:0];32'b0;RO;;;;;;;
0x480;APP_CPU_RECORD_PDEBUGPC;CLK;nReset;;;record_app_pdebugpc;[31:0];32'b0;RO;;;;;;;
0x484;APP_CPU_RECORD_PDEBUGLS0STAT;CLK;nReset;;;record_app_pdebugls0stat;[31:0];32'b0;RO;;;;;;;
0x488;APP_CPU_RECORD_PDEBUGLS0ADDR;CLK;nReset;;;record_app_pdebugls0addr;[31:0];32'b0;RO;;;;;;;
0x48C;APP_CPU_RECORD_PDEBUGLS0DATA;CLK;nReset;;;record_app_pdebugls0data;[31:0];32'b0;RO;;;;;;;
0x490;RSA_PD_CTRL_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;rsa_pd;[0];1'b0;R/W;;;;;;;
0x494;ROM_MPU_TABLE0;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;rom_mpu_table0;[1:0];2'b1;R/W;;;;;;;
0x498;ROM_MPU_TABLE1;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;rom_mpu_table1;[1:0];2'b1;R/W;;;;;;;
0x49C;ROM_MPU_TABLE2;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;rom_mpu_table2;[1:0];2'b1;R/W;;;;;;;
0x4A0;ROM_MPU_TABLE3;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;rom_mpu_table3;[1:0];2'b1;R/W;;;;;;;
0x4A4;SHROM_MPU_TABLE0;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table0;[1:0];2'b1;R/W;;;;;;;
0x4A8;SHROM_MPU_TABLE1;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table1;[1:0];2'b1;R/W;;;;;;;
0x4AC;SHROM_MPU_TABLE2;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table2;[1:0];2'b1;R/W;;;;;;;
0x4B0;SHROM_MPU_TABLE3;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table3;[1:0];2'b1;R/W;;;;;;;
0x4B4;SHROM_MPU_TABLE4;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table4;[1:0];2'b1;R/W;;;;;;;
0x4B8;SHROM_MPU_TABLE5;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table5;[1:0];2'b1;R/W;;;;;;;
0x4BC;SHROM_MPU_TABLE6;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table6;[1:0];2'b1;R/W;;;;;;;
0x4C0;SHROM_MPU_TABLE7;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table7;[1:0];2'b1;R/W;;;;;;;
0x4C4;SHROM_MPU_TABLE8;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table8;[1:0];2'b1;R/W;;;;;;;
0x4C8;SHROM_MPU_TABLE9;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table9;[1:0];2'b1;R/W;;;;;;;
0x4CC;SHROM_MPU_TABLE10;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table10;[1:0];2'b1;R/W;;;;;;;
0x4D0;SHROM_MPU_TABLE11;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table11;[1:0];2'b1;R/W;;;;;;;
0x4D4;SHROM_MPU_TABLE12;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table12;[1:0];2'b1;R/W;;;;;;;
0x4D8;SHROM_MPU_TABLE13;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table13;[1:0];2'b1;R/W;;;;;;;
0x4DC;SHROM_MPU_TABLE14;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table14;[1:0];2'b1;R/W;;;;;;;
0x4E0;SHROM_MPU_TABLE15;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table15;[1:0];2'b1;R/W;;;;;;;
0x4E4;SHROM_MPU_TABLE16;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table16;[1:0];2'b1;R/W;;;;;;;
0x4E8;SHROM_MPU_TABLE17;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table17;[1:0];2'b1;R/W;;;;;;;
0x4EC;SHROM_MPU_TABLE18;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table18;[1:0];2'b1;R/W;;;;;;;
0x4F0;SHROM_MPU_TABLE19;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table19;[1:0];2'b1;R/W;;;;;;;
0x4F4;SHROM_MPU_TABLE20;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table20;[1:0];2'b1;R/W;;;;;;;
0x4F8;SHROM_MPU_TABLE21;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table21;[1:0];2'b1;R/W;;;;;;;
0x4FC;SHROM_MPU_TABLE22;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table22;[1:0];2'b1;R/W;;;;;;;
0x500;SHROM_MPU_TABLE23;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;shrom_mpu_table23;[1:0];2'b1;R/W;;;;;;;
0x504;IMMU_TABLE0;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table0;[6:0];7'd0;R/W;;;;;;;
0x508;IMMU_TABLE1;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table1;[6:0];7'd1;R/W;;;;;;;
0x50C;IMMU_TABLE2;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table2;[6:0];7'd2;R/W;;;;;;;
0x510;IMMU_TABLE3;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table3;[6:0];7'd3;R/W;;;;;;;
0x514;IMMU_TABLE4;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table4;[6:0];7'd4;R/W;;;;;;;
0x518;IMMU_TABLE5;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table5;[6:0];7'd5;R/W;;;;;;;
0x51C;IMMU_TABLE6;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table6;[6:0];7'd6;R/W;;;;;;;
0x520;IMMU_TABLE7;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table7;[6:0];7'd7;R/W;;;;;;;
0x524;IMMU_TABLE8;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table8;[6:0];7'd8;R/W;;;;;;;
0x528;IMMU_TABLE9;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table9;[6:0];7'd9;R/W;;;;;;;
0x52C;IMMU_TABLE10;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table10;[6:0];7'd10;R/W;;;;;;;
0x530;IMMU_TABLE11;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table11;[6:0];7'd11;R/W;;;;;;;
0x534;IMMU_TABLE12;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table12;[6:0];7'd12;R/W;;;;;;;
0x538;IMMU_TABLE13;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table13;[6:0];7'd13;R/W;;;;;;;
0x53C;IMMU_TABLE14;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table14;[6:0];7'd14;R/W;;;;;;;
0x540;IMMU_TABLE15;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;immu_table15;[6:0];7'd15;R/W;;;;;;;
0x544;DMMU_TABLE0;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table0;[6:0];7'd0;R/W;;;;;;;
0x548;DMMU_TABLE1;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table1;[6:0];7'd1;R/W;;;;;;;
0x54C;DMMU_TABLE2;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table2;[6:0];7'd2;R/W;;;;;;;
0x550;DMMU_TABLE3;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table3;[6:0];7'd3;R/W;;;;;;;
0x554;DMMU_TABLE4;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table4;[6:0];7'd4;R/W;;;;;;;
0x558;DMMU_TABLE5;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table5;[6:0];7'd5;R/W;;;;;;;
0x55C;DMMU_TABLE6;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table6;[6:0];7'd6;R/W;;;;;;;
0x560;DMMU_TABLE7;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table7;[6:0];7'd7;R/W;;;;;;;
0x564;DMMU_TABLE8;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table8;[6:0];7'd8;R/W;;;;;;;
0x568;DMMU_TABLE9;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table9;[6:0];7'd9;R/W;;;;;;;
0x56C;DMMU_TABLE10;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table10;[6:0];7'd10;R/W;;;;;;;
0x570;DMMU_TABLE11;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table11;[6:0];7'd11;R/W;;;;;;;
0x574;DMMU_TABLE12;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table12;[6:0];7'd12;R/W;;;;;;;
0x578;DMMU_TABLE13;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table13;[6:0];7'd13;R/W;;;;;;;
0x57C;DMMU_TABLE14;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table14;[6:0];7'd14;R/W;;;;;;;
0x580;DMMU_TABLE15;CLK;nReset;;;;[31:7];25'b0;RO;;;;;;;
;;;;;;dmmu_table15;[6:0];7'd15;R/W;;;;;;;
0x584;PRO_INTRUSION_CTRL;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;pro_intrusion_record_reset_n;[0];1'b1;R/W;;;;;;;
0x588;PRO_INTRUSION_STATUS;CLK;nReset;;;;[31:4];28'b0;RO;;;;;;;
;;;;;;pro_intrusion_record;[3:0];4'b0;RO;;;;;;;
0x58C;APP_INTRUSION_CTRL;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;app_intrusion_record_reset_n;[0];1'b1;R/W;;;;;;;
0x590;APP_INTRUSION_STATUS;CLK;nReset;;;;[31:4];28'b0;RO;;;;;;;
;;;;;;app_intrusion_record;[3:0];4'b0;RO;;;;;;;
0x594;FRONT_END_MEM_PD;CLK;nReset;;;;[31:4];28'b0;RO;;;;;;;
;;;;;;reg_pbus_mem_force_pd;[3];1'b0;R/W;;;;;;;
;;;;;;reg_pbus_mem_force_pu;[2];1'b1;R/W;;;;;;;
;;;;;;reg_agc_mem_force_pd;[1];1'b0;R/W;;;;;;;
;;;;;;reg_agc_mem_force_pu;[0];1'b1;R/W;;;;;;;
0x598;MMU_IA_INT_EN;CLK;nReset;;;;[31:24];8'b0;RO;;;;;;;
;;;;;;mmu_ia_int_en;[23:0];24'b0;R/W;;;;;;;
0x59C;MPU_IA_INT_EN;CLK;nReset;;;;[31:17];15'b0;RO;;;;;;;
;;;;;;mpu_ia_int_en;[16:0];17'b0;R/W;;;;;;;
0x5A0;CACHE_IA_INT_EN;CLK;nReset;;;;[31:28];4'b0;RO;;;;;;;
;;;;;;cache_ia_int_en;[27:0];28'b0;R/W;;;;;;;
0x5A4;SECURE_BOOT_CTRL;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;sw_bootloader_sel;[0];1'b0;R/W;;;;;;;
0x5A8;SPI_DMA_CHAN_SEL;CLK;nReset;;;;[31:6];26'b0;RO;;;;;;;
;;;;;;SPI3_DMA_CHAN_SEL;[5:4];2'b00;R/W;;;;;;;
;;;;;;SPI2_DMA_CHAN_SEL;[3:2];2'b00;R/W;;;;;;;
;;;;;;SPI1_DMA_CHAN_SEL;[1:0];2'b00;R/W;;;;;;;
0x5AC;PRO_VECBASE_CTRL;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;pro_out_vecbase_sel;[1:0];2'b0;R/W;;;;;;;
0x5B0;PRO_VECBASE_SET;CLK;nReset;;;;[31:22];10'b0;RO;;;;;;;
;;;;;;pro_out_vecbase_reg;[21:0];22'b0;R/W;;;;;;;
0x5B4;APP_VECBASE_CTRL;CLK;nReset;;;;[31:2];30'b0;RO;;;;;;;
;;;;;;app_out_vecbase_sel;[1:0];2'b0;R/W;;;;;;;
0x5B8;APP_VECBASE_SET;CLK;nReset;;;;[31:22];10'b0;RO;;;;;;;
;;;;;;app_out_vecbase_reg;[21:0];22'b0;R/W;;;;;;;
0xFFC;DPORT_REG_DATE;CLK;nReset;;;;[31:28];4'h0;RO;;;;;;;
;;;;;;dport_reg_date;[27:0];28'h1605190;R/W;;;;;;;
